,Resume,Category
574,operating system window others m excel m office m power point key  handled  title fruit sorting disease detection client kranti dynamic team size education  january electronics mumbai maharashtra university mumbai python developer analyst python developer data analyst   python scriptingprogrammingdeveloping exprience month frontend html exprience month python liabrary numpypandasmatplolibrequestsbeautiful soap exprience month mysql exprience month django exprience month web scrapping exprience le  months   ace power  accountability understanding functional requirement application given client participated walkthroughs business requirements functional requirement technical design ensure testability responsible software configuration management  deliverable technical  set language c c  java pythonpython liabraymysqldjangohtml scripting python gui development tk java  kranti dyanamics  programmingscriptingdeveloperweb scrapping,Python Developer
16, python tableau data visualization r studio machine learning statistic iabac certified data scientist versatile   managing business data science consulting leading innovation s bringing business idea working real world solution strong advocator augmented era human capability enhanced machines fahed passionate bringing business concept area machine learning ai robotics etc real life solutionseducation  january b tech computer science engineering mohali punjab indo global college engineering data science consultant data science consultant datamites   machine learning exprience month python exprience month solution exprience month data science exprience month data visualization exprience month tableau exprience months   datamites  analyzed processed complex data set using advanced querying visualization analytics tool responsible loading extracting validation client data worked manipulating cleaning processing data using python used tableau data visualization  heretic solution pvt ltd  worked closely business identify issue used data propose solution effective decision making manipulating cleansing processing data using python excel r analyzed raw data drawing conclusion developing recommendation used machine learning tool statistical technique produce solution problem,Data Science
868, strong c fundamental problem solving ethereum smart contracts solidity  golang node angular react culturally fit startup environment mongodb postgresql mysql enthusiastic learn new technology aws docker microservices blockchain protocol consensuseducation  january mtech computer engineering jaipur rajasthan malaviya national institute technology jaipur january computer science engg kolhapur maharashtra shivaji university blockchain engineer blockchain engineer xinfin orgnization   mongodb exprience month contract exprience month mysql exprience month aws exprience month problem solving exprience months   xinfin orgnization  xinfin global open source hybrid blockchain protocol rolled multiple blockchain based pilot  different use case various client eg tradefinex supply chain management  land registry govt mh  infactor invoice factoring build secure scalable hosted wallet based erc standard xinfin network working production level blockchain use case technology ethereum blockchain solidity smart contracts dapps nodejs  oro wealth  orowealth zero commision online investment platform currently focused direct mutual fund build various scalable web based product b b b c based mean stack technology integrated multiple finance application entity eg integration kyc mf entity technology nodejs angularjs mongodb express  yallaspree  hyderabad telangana yallaspree largest digital shopping directory uae k store responsibility develop maintain following module admin vendor interface database operation writing webservices complete notification system event offer page technology cakephp php framework  jquery mysql  railtiffincom  mumbai maharashtra railtiffincom e commerce platform serve food railway passenger worked multiple role like bug fixing db operations feature customisation writing api endpoint technology opencart ecommerce framework  jquery mysql  accolite software india private limited  bengaluru ka accolite global service  headquartered dallas usa office india worked birst analytics tool develop deploy maintain report,Blockchain
75,education  ba mumbai university hr   hr operation exprience le  months   mumbai monorail ,HR
540,key competency multi operation management people management customer service email mi vendor client service management cross functional coordination banking financial service transaction monitoring atm operation prepaid card operation pre issuance post issuance po operation job profile  effective communicator excellent relationship building interpersonal  strong analytical problem solving organizational ability extensive  managing operation demonstrated leadership quality organisational  tenure managing customer centric operation ensuring customer satisfaction achieving service quality norm analyzing operational problems customer complaint take preventive corrective action resolve receive respond key customer inquiry effective manner provide relevant timely information deft steering banking back end operations analyzing risk managing delinquency dexterity across applying technique maximizing recovery minimizing credit loss analyzed identified training need team member developing organizing conducting training program manage bottom quartile team improve performance preparing maintaining daily mi report evaluate performance efficiency process relate various vertical measuring performance process term efficiency effectiveness matrix ensuring adherence sla major activity define process field service monitored necessary check executed controlled also measured vendor sla analyzing tat vendor client sla provided u per  procedures handling ensuring vendor payment issue sorted payment processed quarterly basis appropriately plan execute  operation accordance department policy procedure manage relationship business team software development team service achieve  objective different software worked till ctl prime axis bank credit card b insight po machine technical operation amex mid tid generation atos venture infotek c ticket management system tata communication private service ltd atm noc operation branch portal yalamanchili software export ltd prepaid card sbi bank zaggle prepaid ocean service ltd zaggle prepaid ocean service pvt ltd oct till date designation manager operation payment industry prepaid card inr education  commerce mumbai maharashtra mumbai university operation manager service manager operation payment industry prepaid card inr ftc   operation exprience month satisfaction exprience month training exprience month noc exprience month point sale exprience months   zaggle prepaid ocean service pvt ltd  card operation  yalamanchili software export ltd  operation pvt ltd dec feb designation service manager operation payment industry prepaid card inr ftc key contribution result oriented business professional planning executing managing processes improving efficiency operations team building ing process information determine effective result operation ensuring pin generation sla maintained chargeback case raised perfect timeframe managing email customer service properly ensuring email replied properly also ensuring transaction monitoring properly managed assisting banker sbi associated bank bcp plan getting executed system help dr pr plan vice versa business requirement expertise maintaining highest level quality operation ensuring adherence quality parameter procedure per stringent norm lead manage supervise execution external audit engagement responsible presenting finding developing quality report senior management client coach mentor team member perform higher level giving opportunities providing timely continuous feedback working staff improve communication time management decision making organization analytical  providing solution service client premise aforesaid count team member also ensuring end end process pr dr per client requirement pr dr dr pr interacting internal external stakeholder determining process gap designing conducting training program enhance operational efficiency retain talent providing optimum opportunity personal professional growth  credit card  ensured highest standard customer satisfaction quality service developing new policy procedure improve based customer feedback resolving customer query via correspondence inbound call email channel strength team member  ag transact technology limited  key contribution lead spoc bank  tata communication payment solution ltd  make atm operational within tat analyzing issue technical non technical also interacting internal external stakeholder  vertex customer solution india private ltd  key contribution build positive working relationship team member client keeping management informed kyc document collection con current audit progress responding timely management inquiries understanding business conducting self professionally  financial inclusion network operation limited  key contribution po operation cascading adherence process strictly followed team member training reduce downtime managing stock edc terminal managing deployment terminal multiple team would worked multiple terminal make model managing inward outward qc application installed po machine  venture infotek private ltd  key contribution po operation  axis bank ltd customer service  aug oct foi smart designation team leader executive emails phone banking correspondence unit snail mail,Operations Manager
461,technical  language core java automation testing tool selenium web driver ide dbms m sql server  oracle g operating system window xp education  bscit mumbai university automation tester automation manual tester   database management system exprience month dbms exprience month java exprience month m sql server exprience month m sql server exprience months   capgemini india pvt ltd  worked manual well automation testing started carrier manual tester moved automation testing working automation tester worked selenium webdriver  na  currently working capgemini airoli consultant th may till date,Automation Testing
801,education  january bachelor engineering extc mumbai maharashtra mumbai university january diploma industrial electronics vashi maharashtra fr agnel polytechnic etl developer etl developer   informatica exprience months   blue shield california  duration mar sept  blue shield california bsc health plan provider intent  process feed coming going bsc system related eligibility enrollment claim subject area feed come different format processed using informatica  oracle g facet tidal technical environment etl tool informatica power center  oracle g sql pl sql  unix facets tidal jira putty role etl developer responsibility responsible analyzing business requirement document involved development informatica mapping using different transformation like source qualifier expression filter router joiner union aggregator normalizer sorter lookup corresponding session workflow extensively used informatica debugger figure problem mapping involved troubleshooting existing bug writing unix script sql per business requirement impact analysis change request development data fabrication using facet screen well sql statement membership domain unit testing trouble shooting using informatica debugger sql query preparation unit test case prepare document design unit testing impact analysis award achievement received kudos award syntel contribution error free work commitment towards learning client appreciation outstanding display syntel value received appreciation management outstanding performance complete tenure received spot recognition automation done ,ETL Developer
665, set cisco certified network associate ccna basic knowledge networking ethernet mediums ethernet communication type ethernet communication device etc ipv subnetting supernetting basic configuration routing switching access lists network address translation nat  virtual lan vlans etc cisco certified network associate ccna security basic security goal need different type attack like access attacks reconnaissance strategy etc basic configuration firewall mitigation technique access control lists private vlans vlan hopping ip source guard dhcp snooping authentication authorization accounting aaa  ip security ipsec etc cisco certified network professional ccnp routing switching mpls routing configuration concept eigrp ospf bgp switching virtual lan vlans  spanning tree protocol stp  queuing etc mpls multi protocol label switching basic idea working type mode mpls penultimate hopping mpls etc cisco certified network professional security asa module knowledge control plane security management plane security data plane security knowledge network telemetary ntp netflow logging  nat fundamental asa firewall filtering technologies asa mode deployment asa failover security context reputation based firewall identity firewall zone based firewall  te  title temperature controlled cooling fan academic  sem   simply sens temperature level turn fan temperature set limit  developed aim control temperature device reduce damage device heating title automatic plant watering system academic  sem   simply sens moisture level turn water pump moisture education  january technology mumbai maharashtra mumbai university hsc mahatma gandhi high maharashtra state board ssc mahatma gandhi high maharashtra state board school junior college network security enginner network security engineer   networking exprience le  month subnettingsupernetting exprience le  month access list exprience le  month acls exprience month network address translation nat exprience le  month vlan exprience le  month aaa exprience le  month ipsec exprience le  month access control list exprience month dhcp snooping exprience le  month private vlan exprience le  month vlan hopping exprience le  month vpn exprience le  month routing protocol ripeigrpospfbgp exprience le  month dm vpn exprience le  month switching exprience le  month control plane security exprience le  month data plane security exprience le  month management plane security exprience le  month network telemetary exprience le  month firewall exprience le  month firewall filtering technology exprience le  month asa failovers exprience le  month zone based firewall exprience le  month reputation based firewall exprience le  month security context exprience le  month security exprience le  months   stormfur technology llp  network security engineer stromfur technology llp august present troubleshoot firewall related incident customer solve technical problem relating installing security solution analyze security requirement network system reviewed configuration maintained cisco asa firewalls routers switch reviewed modified access control list acls network switching routing equipment needed maintain security standard participated core network team upgrade corporate network maintained network security technology service interacted client analyzed operational requirement install configured ipsec ssl vpn reviewed configured vlan routing protocol rip ospf eigrp  nat support client various networking issue,Network Security Engineer
698,area expertise profile around plus  proven  best global brand wipro expertise pmo itil management process improvement  process audit planning scheduling effort issue risk tracking risk issue management sla management workforce staffing resource management transition operation management   management tool ca clarity visio office itil incident management recruitment workforce management technical sap hr mrs cpro confluence microsoft office word powerpointexcellent knowledge hand  advanced m excel knowledge m  sharepoint reporting ticket tool xtraction ca service desk tracker education  mba hr finance bengaluru karnataka rkims college senior executive pmo senior executive pmo consultant   operation exprience month staffing exprience month hr exprience month pmo exprience months   ensono llp  role responsiblites responsible creation structured report present senior deliery management per business requirement design draft various report per business requirement responsible creation mom chasing people getting sla driven time achieving target result time assist  manager creating rr deputation invoicings billing activites maintaining clarity sharepoint data service delivery management perform customer invocing direction cem sdm weekly preparation sla kpi data based manual tracker sharing client senior management  implementation management invoicing billing management participate establishing client contractual documentation  various delivery model like managed services fixed price m sla based risk penalty required manage sla target save penalty towards customer drive sla call plus customer multiple tower spoc time floor analysis tofa report highlighting employee tailgating data high level management ensure compliance related issue floor maintenance ensure asall joining formality boarding activity new employee identify drivekey metric like billing efficiency resource utilization maintain  library filing recording reporting system monitor  progress risks roadblocks opportunity manage communication stakeholder develop flow chart sop ad maintain process change database monitor severity call prepare monthly report operational report capacity utilization report timesheet report sla compliancereport quarterly report operational report quarter trend internal report allowances billing reports repository maintenance documentscreate  sub  plan monitor progress schedule maintain risk issue log actively participate  management community responsible  cost schedule budget revenue milestone progress  wipro technology  role responsiblites responsible creation structured report present senior deliery management per business requirement design draft various report per business requirement responsible creation mom chasing people getting sla driven time achieving target result time assist  manager creating rr deputation invoicings billing activites maintaining clarity sharepoint data service delivery management perform customer invocing direction cem sdm weekly preparation sla kpi data based manual tracker sharing client senior management  implementation management invoicing billing management participate establishing client contractual documentation  various delivery model like managed services fixed price m sla based risk penalty required manage sla target save penalty towards customer drive sla call plus customer multiple tower spoc time floor analysis tofa report highlighting employee tailgating data high level management ensure compliance related issue floor maintenance ensure asall joining formality boarding activity new employee identify drivekey metric like billing efficiency resource utilization maintain  library filing recording reporting system monitor  progress risks roadblocks opportunity manage communication stakeholder develop flow chart sop ad maintain process change database monitor severity call prepare monthly report operational report capacity utilization report timesheet report sla compliancereport quarterly report operational report quarter trend internal report allowances billing reports repository maintenance documentscreate  sub  plan monitor progress schedule maintain risk issue log actively participate  management community responsible  cost schedule budget revenue milestone progress  wipro infotech  responsibility monitor manage headcount actual v plan region maintain headcount ratio revenue maintain monitor correct tagging sap  tagging supervisor tagging org unit cost center region financials maintained properly responsible providing exact accurate headcount report gm calculation responsible managing bench management deploy resource responsible managing driving tenure management eligible employee deploy according aspiration business need responsible hiring maintaining rookie ratio location actively track training deploy analyze past volume staffing pattern implement action based forecast provided resource crunch addressed make sure availability resource time go live validate head count plan  work stake holder service delivery manager optimizing resource ensure required wfm data tracked trended continuous basis nld team identify resource completed tenure  plan training help training team elevate higher role back fill rookie trb te wims sims interface service delivery manager director needed escalation service impacting issue due resource availability coordinate stake holder operation interface client handle account management issue add resource per requirement manages staff schedule responsibility workforce management team region bu prepare daily weekly monthly report distribute management team manages staffing ratio seat utilization optimization ensure  goal met build effective working relationship internal department take care special  pwd rookie hiring model training deployment personal  dob pan awvpb n passport j linguistic ability english hindi marathi kannada konkani location pune india marital status married,PMO
903,personal  quick learner eagerness learn new things competitive attitude good leadership qualities ability deal people diplomatically personal dossier father name dhanraj wagheducation  january january bachelor engineering engineering pune maharashtra pune university january higher secondary certificate nashik maharashtra snd college engineering research center january secondary school certificate yeola maharashtra swami muktanand jr college hsc maharashtra state board ssc maharashtra state bard rajapur uttar pradesh madhyamik vidya mandir rajapur testing quality control engineer testing quality control engineer rakesh transformer industry pvt ltd      rakesh transformer industry pvt ltd  responsibility conduct routine test type test temperature rise test  special test transformer per iec mva kv class preparing test report routine tests type test special test per   iec test manual inspection plan power transformers distribution transformers inverter duty converter duty motor duty transformer furnace transformer auto transformers dry type vpi crt lt transformers special transformer testing remote tap changer cubicle rtcc panel oltc operation ctr esun mr functional testing transformer accessory br prv mog wti oti setting case failure testing analysis root cause submit capa assist customer representative time inspection process testing winding core assembly core coil assembly handling rd party government body inspection preparation daily internal testing report send concern support certification audit iso bi calibration validation tools instruments measuring equipment suggest client proper maintenance transformer documentation maintain record analyze test result maintain testing ledger process quality inspection winding core assembly core coil assembly per standard per organizational norm pre dispatch quality inspection complete product implementation of analysis  silverline electricals pvt ltd  routine tests type test temperature rise test special test per  test manual inspection plan distribution transformer power transformer successfully handled responsibility erda testing site commissioning transformer assist customer representative time inspection process testing winding core assembly core coil assembly successfully handling rd party government body inspection preparation daily internal testing report send concern suggest client proper maintenance transformer,Testing
792, set talend big data informatica power center microsoft sql server sql platform management studio workbench aws service talend administration console microsoft visual redshift tac studio athena data warehouse concept star sql schema facts dimension data modeling data integration microsoft access education  january january mumbai maharashtra university mumbai january cbse technology kochi kerala st francis talend etl developer talend etl developer tata consultancy service   data warehouse exprience month database exprience month integration exprience month integrator exprience month m sql server exprience months   tata consultancy service  prepared etl mapping document every mapping data migration document smooth transfer  development testing environment production environment performed unit testing system testing validate data load target troubleshoot long running job fixed issue expertise creating mapping talend using big data supporting component tjdbcconfiguration tjdbcinput thdfsconfiguration t configuration tcacheout tcachein tsqlrow standard component like tfileinputdelimited tfileoutputdelimited tmap tjoin treplicate tparallelize tconverttype taggregate tsortrow tflowmeter tlogcatcher trowgenerator tjava tjavarow taggregaterow tfilter etc used etl methodology best practice create talend etl job followed enhanced programming naming standard developed jobs component joblets talend used trunjob component run child job parent job pas parameter parent child job created deployed physical object including custom tables custom views stored procedures index sql server staging data warehouse environment involved writing sql query used join access data mysql created managed source target mapping document fact dimension table broad design development testing  talend integration suite knowledge performance tuning mapping extensively used tmap component lookup joiner function d writing expression within tmap per business need handled insert update strategy using tsqlrow created implicit local global context variable job run talend job different environment worked talend administration console tac scheduling job adding user d building talend job outside talend studio well tac server developed mapping load fact dimension tables scd type scd type dimension incremental loading unit tested mapping developed framework integrated job schedule multiple job time update last successful run time success status sending mail failed jobs maintaining count sql database used tparalleize component multi thread execution option run subjobs parallel increase performance job created talend job copy file one server another utilized talend ftp component implemented ftp operation using talend studio transfer file network folder well ftp server using component like tfilelist t put tftput tfileexist tftpconnection etc extracted data flat file database applied business logic load staging database well flat file successfully loaded data different target various source system like sql database db  flatfiles xml file etc staging table target database  tata consultancy service   development design etl extract transform loading data methodology supporting data transformation processing corporate wide etl solution using talend big data platform excellent working  agile methodology proficiency gathering understanding client requirement translate business need technical requirement design develop end end etl process various source system staging area staging data warehouse soliciting documenting business functional data requirements context variable diagrams use case etl related diagram excellent oral written communication ability effectively work onsite remote team good team player excellent problem solving ability time management  profound insight determine priorities schedule work meet critical deadline  tata consultancy service  prepared etl mapping document every mapping data migration document smooth transfer  development testing environment production environment performed unit testing system testing validate data load target troubleshoot long running job fixed issue,ETL Developer
368,technicals springmvc hibernate jdbc java j ee azureweb suntechnologies services jsp struts servlet restapi scripting javascript ajax html json opensourcetechnologies php database mssql mysql oracle webservers apachetomcatserver internettechnologiesand onesignalwebpushnotifications azurewebservices framework ionic html json operatingsystem windowsserver r  winxp  linux mac o education  august july computer engineering nashik maharashtra late gn sapkal coe nashik july june diploma computer technology nashik maharashtra k k wagh polytechnic nashik java developer java developer   ajax exprience month database exprience month html exprience month j ee exprience month java exprience month spring mvc exprience month ionic exprience month angular j exprience month spring exprience le  month java exprience le  months   replete business solution pvt ltd  working java developer spring mvc mysql mssql java j ee ajax javascript ionic framework angular j etc technology,Java Developer
933, set o window xp database mysql sql server  language core java web technology html cs testing manual testing database testing bug tracking reporting end user handlingeducation  january mc pune maharashtra pvp college pravaranagar january hsc akjunior college january ssc akmahavidyalya jr testing engineer jr testing engineer tech innovation ltd   testing exprience month window xp exprience month cs exprience month database exprience month database testing exprience months   tech innovation ltd  responsibility analyzing testing requirement preparing test plans test scenario preparing test case executing test case tracking bug coordinating developer order fix preparing test summary report reporting quality manager attending meeting   name web based time attendance application environment window  vista window xp window  window client mccia sapphire park bramha suncity wanless hospital role software testing duration month  name android time attendance application vehicle tracking system vistor management system environment android mobile android tablet client vankan security role application testing duration month  name web based factory automation process web based annual maintenance charge environment window  vista window xp window  window role software testing duration month  name web based library management system environment window  vista window xp window  window role software testing duration month,Testing
487,education  electrical engineering   microsft office excell power point exprience months   indian navy  academia matric diploma electrical engineering nuclear biological chemical defence damage control including fire fighting leadership certificate course week management certificate course week advance fire fighting including industrial safety week,Electrical Engineering
42,education  ba mumbai university hr   hr operation exprience le  months   mumbai monorail ,HR
63, window xp m office word excel look ups pivot table basic function power point saral payment package payroll software internet applicationseducation  january bachelor hospitality management international hospitality management queen margaret university edinburg january diploma hotel management international institute hotel management hr   hr management exprience le  months   atri developer  hr payroll statutory compliance performance management   employee relation administration creating industry specific policies procedure forms formats letters checklist etc payroll management salary restructuring process payroll employee validation input attendance leaves salary starting salary process processing accurate error free salary employee responsible compensation benefit administration coordinate account team salary processing attendance leave record management assuring prompt satisfactory resolution payroll related query employee statutory compliance management manage various statutory compliance requirement pf esic pt gratuity tds etc calculations deduction payment return filing generate statutory report like form  form q conducting session employee statutory policy procedure compliance related topic shop commercial establishment act e payment gratuity act recruitment selection handling recruitment like job posting naukri portal coordination create annual manpower plan budget screen schedule preliminary interview arrange employee orientation handling joining formality salary account opening formality performance management end end facilitation pm starting creating job  appraisal form disbursement letter kra setting mid  reviews annual reviews handling appraisal activity degree training development conduct training need analysis arrange various training session employee engagement employee welfare creation deployment sale reward recognition schemes periodic interactive session like monthly birthday celebration annual day diwali dhamaka offsite etc working saral payment package payroll software well excel assisting md hr works offering suggestion answering employee query payroll compliance related issues benefit insurance medical reimbursement  full final settlement resigned employee,HR
669, set  implementing troubleshooting network security solution planning implementation knowledge multi vendor firewall cisco asa checkpoint upto r juniper netscreen fortinet fwsm familiarity latest hardware network security technology excellent analytical problem solving  ed analyzing monitoring network security solution using variety monitoring solution zenoss solarwinds cisco prime work  multi client data center environment knowledge work  firewall io upgrade  configuration f load balancers ssl certificate updates rule f upgrade configuration cisco router series       nexus k k configuration cisco switch series   catalyst  working knowledge bluecoat proxy knowledge itil processeducation  september august bachelor engineering electronics pune maharashtra aissms college engineering university pune july february higher secondary certificate science pune maharashtra sinhgad college university pune june march secondary school certificate ssc science pune maharashtra me boy high school maharashtra pune network security engineer network security engineer caput   network security exprience month checkpoint exprience month cisco exprience month cisco asa exprience month cisco routing switching exprience month loadbalncing f exprience month security exprience le  month cisco exprience le  month vpn exprience le  month lan exprience le  month networking exprience le  months   caput  work client shared network security infra plan implement troubleshoot customer request monitor datacenter infra work call engineer weekend provide office support  capgemini india pvt ltd  part uk india noc work client dedicated infra undergo client infra handover session streamline client boarding process act mentor junior attend weekly caab call represent critical change  sungard availability service  plan troubleshoot implement client network request  work internet bw upgrade downgrade decommission dr test planning implementation setting l vpn customer  sungard software solution  maintain client documentation work datacenter remediation  dns record management sungard availability service,Network Security Engineer
451,education  july february computer science nagpur maharashtra nagpur university sap hana developer sap hana developer schlumberger   sap hana exprience month sap bo exprience months   schlumberger  schlumberger world leading provider technology reservoir characterization drilling production processing oil gas industry working country role sap hana developer team size duration feb till date responsibility working suit hana native hana system working end end implementation release developing hana information model calculation views table functions procedure actively involved cutover activities dry run production go live post production go live resolving issue worked hana functionality like currency conversion analyzing planviz performance related issue etc worked bring table sap hana landing zone using sda working resolve performance issue hana view applying filter join etc interacting business functional team members based discussion creating design documents technical specification test document successfully implemented release us ecuador canada successfully completed self service  finance domain created report analysis office working create power bi report working resolve production defect incident using hpalm remedy tool working resolve issue existing hana view working promote object different environment using charm solmon working enhance performance hana view using planviz worked create bo report vendor master aero space design honeywell  fujitsu consulting india  responsibility hana data model development modification existing model providing estimation create data model based business request creating view attribute analytical calculation view base business requirement creation design document technical design document brought data hana landing zone using slt sda handled complex performance issue worked sap landscape transformation data replication source db hana db solved sit ticket hana information model developing hana information model calculation views table functions procedure modifying existing model include tables column etc necessary complete requirement configuring business object fetch data hana editing modifying exiting report fetch data hana per requirement mc donald  fujitsu consulting india client mc donald role sap bo developer team size duration july june responsibility providing estimation create universe webi report based business request worked creating universe top sap hana bw resource worked creating complex report webi worked providing row level folder level security worked scheduling report tool technology knowledge sap hana sps sap ecc sql remedy sharepoint sap logon webi power bi,SAP Developer
244, set multi tasking collaborative optimistic thinking effective teamleader team trainer visualizing work done good grip communication various language known value loyalty loyal towards responsibility compatible working m officeeducation  january mba marketing sale amity university january bsc hotel management psg college art science institution university board sale manager sale marketing management   m office exprience months   cohesive technology  responsible managing  business mumbai areaalong branch manageri follow lead given corporate office meet personally give best solution product suitable business even generate lead calling client cold callmy job like entrepreneur here basically involves managing small business,Sales
408,education  february february tybcom commerce mumbai business analyst business analyst      motilal oswal  business analyst handling operation institutional equity maintain daily mi excel cag research derivative sale team preparing auto dashboard research sales trading team working excel macro create innovative report working block related data working bd fund different geo working investor corporate meeting track corporate block fund interest sector  f    maintain prepare cash indent cash report cash position cash planning responsibility maintain daily mi excel provide complete information mi atm maintain prepare cash indent cash report cash position cash planning co ordinate bank cash department co ordinate custodian degree course  passing grade institute university board percentage  angel broking  reporting assistant manager sr manger responsibility handling team quality assurance team member maintain daily mi excel team productivity maintain prepare repots adding comment remark mailing client modification given number mailing report different branch coordinating rm provide complete information script client,Business Analyst
788,computer  yes sql knowledge yes unix knowledge yes data warehouse knowledge yes ab intio yee hobby playing cricket football reading book visiting new place travelling declaration hereby declare mentioned information factual correct best knowledge belief date mr manish prabhakar patil place mumbai education  june june bachelor electronics telecommunication c patil college engineering january january engineering navi mumbai maharashtra bharati vidyapeeth january hsc mumbai maharashtra khalsa college etl informatica developer etl developer   etl exprience le  month data warehouse exprience le  month datastage exprience le  months   reliance infocomm  havevbeen working etl developer reliance industry india past si good knowledge informatica sql well good knowledge unixi willing work  developer,ETL Developer
503,achievement oriented people management  ability manage change ease proven strength problem solving coordination analysis strong communication interpersonal learning organizing  matched ability manage stress time people effectively able handle multiple task  simultaneously willing travel relocateeducation  electrical electronics engineering gulbarga karnataka vtu vishweshwariya university hsc wai maharashtra kisanveer mahavidyalay wai kohlapur university electrical engineer electrical engineer refcon engineering pvt ltd      refcon engineering pvt ltd  greenfield   status libs braseries burkena faso africa completed citrus processing india nanded completed carlsberg group myanmar yangon completed ub united brewery  mysore completed ub united brewery  hyderabad completed haldiram food pvt ltd nagpur completed tetra pak india pvt ltd amreli completed ub united brewery  rajasthan completed handling activity  preparing  schedule plans engineering design drawing technical specification per client requirement review process p id selection instrument get energy efficient process material specification approval modification electrical drawing per requirement process flow diagram general electrical standard carry automation engineering includes hardware software specification generate control philosophy process automation per p id process necessary technical documentation manual calculate estimation value  price bidding client includes mcc plc panel power control cabling tray earthing material etc selection electrical switchgear ht lt pcc mcc apfc panels power control cable motors protection metering ct pts acbs earthing lightning analog digital instrument floating  enquiry communicate vendors evaluate vendor quote technical alignment generate power distribution sld drawing per load flow general arrangement drawing panels controller logic diagrams developing cable route plan schedules cable tray layout autocad tool ing installation commissioning troubleshooting mcc plc lt panels vfd drives soft starters programming danfoss schnider vacon siemens abb drive working  siemens    et series allen bready r logix plc installation calibration troubleshooting field instrument pressure temperature transmitter pneumatic valves actuators modulating valves solenoid valve flow meter flow switches flow transmitter level transmitter etc carry loop testing per control cable schedule hand  troubleshooting engineering service maintenance operation managing various electrical power system equipment supervising commissioning activity handling mechanical maintenance service activity operating plant  kisanveer sugar pvt ltd  handling activity   worked asst electrical engineer erection field across mw power plant testing commissioning electrical maintenance operation allied activity testing commissioning installation ht lt panels vfd drive dc drive panel scheduling planning predictive preventive maintenance process plants root cause analysis including budgeting cost control activity managing overhauling maintenance lt motor dc shunt motors panel switchgears vfds soft starters dg set amf panel plant lighting installation commissioning maintenance power distribution transformer acb vcb sf breaker ct pt units fcbc panels ups protection system include microprocessor based relay numerical relay relay co ordination monitoring plan schedule start maintenance activity achieving target implementing maintenance system shut time daily power monitoring calculation reporting monthly basis,Electrical Engineering
605,technical  hp alm rtc jira iseries sql test automation x framework hour hsbc framework  uft lisa test data automation catdm test scheduling jenkins maven test document versioning confluence sharepointeducation  january bachelor engineering computer engineering mumbai maharashtra mumbai university january diploma computer technology mumbai maharashtra maharashtra state board technical education  manager global test manager  manager global test manager   exprience month iseries exprience month microsoft sharepoint exprience month scheduling exprience month sharepoint exprience months   career timeline  hsbc software india pvt ltdpune india  manager global test manager  disha technology   total solution pvt ltd  key deliverable across tenure global test manager  management acting global test manager steering team resource across globe spearheading testing team india china malaysia poland current role involves entire test delivery large program banking domain includes leading team comprising individual client vendor functional regression integration shared service security performance accessibility automation group defining devising hsbc core banking transformation strategy solution execution level  latest specialize testing method cbil api conversion cloud digital ui infrastructure exploratory accessibility testing d planning oat various non functional like performance volume testing core banking coordinating regional business testing team map testing approach following various team ensure end end release successful quality product delivered production steering global product testing regional deployment testing extending support uat live proving technical lead implement house test automation framework x framework solution iseries system managing implementation test automation enable devops via tool cucumber selenium bdd  uft tosca function testing leading ci cd implementation executing automated script jenkins working test data management using ca tdm internal hsbc tool handling task pertaining resource forecasting effort estimation resource boarding process ensuring seamless communication vendor partner arrange resource onboarding based forecasting reviewing  progress daily basis implementing corrective measure ensure  ontrack overseeing people management task comprise monthly leads review providing conflict resolution required,DevOps Engineer
